Art	Name	street	postalcode	city	lat	long	Webseite	Oeffnungszeiten
Impfzentrum	Zürich, Stadtspital Triemli	Paul-Clairmont-Strasse 14	8044	Zürich	47.36742758	8.496163598	https://www.stadt-zuerich.ch/content/triemli/de/index/service/medien/auszeichnungen-news/impfcenter.html	Mo-Fr 09:00-18:00 Uhr
Impfzentrum	Bülach, Stadthalle	Allmendstrasse 8	8180	Bülach	47.5155964	8.536466027	https://www.spitalbuelach.ch/seite/impfzentrum-b%C3%BClach	Mo-Fr 10:00-13:00Uhr und 14:00-19:00Uhr
Impfzentrum	Dietikon, Stadthalle	Fondlistrasse 15	8953	Dietikon	47.40709381	8.386878654	https://www.dietikon.ch/bildunggesellschaft/gesellschaft/gesundheit/impfzentrumdietikon	Mo, Di, Mi, Sa 08:00-12:15 / Do 12:45-17:00, Fr 08:00-12:15 / 12:45-17:00 / 17:30 - 19:30
Impfzentrum	Zürich, Zentrum für Reisemedizin am EBPI	Hirschengraben 84	8001	Zürich	47.37605225	8.545456841	https://coronazentrum.uzh.ch/de/
Impfzentrum	Winterthur, Rieter-Areal	Klosterstrasse 32	8406	Winterthur	47.48523628	8.706691841	https://www.impfzentrumwinterthur.ch/	Mo-Fr 08:00-18:00 Uhr
Impfzentrum	Wetzikon, Kunsteisbahn	Rapperswilerstrasse 63	8620	Wetzikon	47.31518772	8.799386998	https://impfenwetzikon.ch/	Mo-Fr 10:00-19:00 Uhr
Impfzentrum	Männedorf/Meilen, Turnhalle Dorfprovisorium (DOP)	Schulhausstrasse 23	8706	Meilen	47.2689957	8.642604056	https://www.spitalmaennedorf.ch/coronavirus/impfzentrum-meilen/	Mo-Fr 10:00-13:00 Uhr und 14:00-19:00 Uhr
Impfzentrum	Zürich, Messe	Wallisellenstrasse 49	8050	Zürich	47.41146062	8.553382027		Mo-Fr 12:00-19:00 Uhr
Impfzentrum	Uster, Sportzentrum Buchholz	Hallenbadweg 4	8610	Uster	47.36019621	8.725642085	https://impfzentrum-uster.ch/	Di-Sa 14:00-18.30 Uhr
Impfzentrum	Affoltern am Albis, Holiday Inn Express	Obstgartenstrasse 7	8910	Affoltern am Albis	47.27456858	8.444039598	https://www.spitalaffoltern.ch/covid-19-impfung.html	Mo-Fr 08:00-12:00 Uhr und 13:00-17:30 Uhr
Impfzentrum	Horgen, Seehallen 87	Seestrasse 87	8810	Horgen	47.26271874	8.591795056	https://see-spital.ch/impfzentrum/	Mo-Di, Do-Fr 11:00-19:00 Uhr und Mi 7:00-13:00 Uhr und Sa 8:00-13:00 Uhr
